GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
servicio-libros,com.example.servicio_libros,ServicioLibrosApplication,0,8,0,0,0,3,0,2,0,2
servicio-libros,com.example.servicio_libros.DTO,GeneroRequestDto,0,10,0,0,0,4,0,3,0,3
servicio-libros,com.example.servicio_libros.service,LibrosServiceLmpl,0,39,0,0,0,9,0,8,0,8
servicio-libros,com.example.servicio_libros.controller,LibrosController,0,106,0,6,0,25,0,11,0,8
servicio-libros,com.example.servicio_libros.model,Libro,0,52,0,0,0,22,0,15,0,15
servicio-libros,com.example.servicio_libros.config,CorsConfig,0,49,0,0,0,8,0,2,0,2
